idMunicipio;numero;Departamento;Municipio;NUESTRO TIEMPO;FMLN;NUEVAS IDEAS;PDC;VAMOS;PCN;GANA;CD;ARENA;dpto_desc;muni_desc
194;16;san-salvador;santiago-texacuangos;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Santiago Texacuangos
195;17;san-salvador;santo-tomas;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Santo Tomás
196;18;san-salvador;soyapango;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Soyapango
197;19;san-salvador;tonacatepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Tonacatepeque
198;2;san-vicente;apastepeque;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Vicente;Apastepeque
199;3;san-vicente;guadalupe;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Vicente;Guadalupe
200;4;san-vicente;san-cayetano-istepeque;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Vicente;San Cayetano Istepeque
201;5;san-vicente;san-esteban-catarina;;FMLN;;PDC;VAMOS;;GANA;;;San Vicente;San Esteban Catarina
202;6;san-vicente;san-ildefonso;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Vicente;San Ildefonso
203;7;san-vicente;san-lorenzo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Vicente;San Lorenzo
204;8;san-vicente;san-sebastian;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Vicente;San Sebastián
205;1;san-vicente;san-vicente;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Vicente;San Vicente
206;9;san-vicente;santa-clara;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Vicente;Santa Clara
207;10;san-vicente;santo-domingo;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Vicente;Santo Domingo
208;11;san-vicente;tecoluca;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Vicente;Tecoluca
209;12;san-vicente;tepetitan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Vicente;Tepetitán
210;13;san-vicente;verapaz;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Vicente;Verapaz
211;2;santa-ana;candelaria-de-la-frontera;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;Candelaria de la Frontera
